SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100
SSP2;CAZ;Electric;Passenger Rail_tmp_vehicletype;Passenger Rail_tmp_subsectorL3;Passenger Rail_tmp_subsectorL2;Passenger Rail;trn_pass;FV;1;1;1;1;1
SSP2;CAZ;FCEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0;0.014600000000698;0.0169999999682723;0.0193000000012243;0.0759999999895721
SSP2;CAZ;FCEV;Compact Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00564577426702713;0.00532166682593593;0.00975927089197828;0.0223218094624222;0.00761905584581378
SSP2;CAZ;FCEV;Large Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0196461103480896;0.0176719329816809;0.0267551737146833;0.0517528630615536;0.0180491250828266
SSP2;CAZ;FCEV;Large Car and SUV;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0202786744363911;0.0192491184370029;0.0334147113045007;0.0715260441539849;0.0190896305370726
SSP2;CAZ;FCEV;Midsize Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0105438821405907;0.010070206526247;0.0184401880131246;0.0413506450480868;0.0121578840779841
SSP2;CAZ;FCEV;Mini Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0187148019679236;0.0164957057883167;0.0184372695448273;0.0285150746919167;0.0156879485358044
SSP2;CAZ;FCEV;Subcompact Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0187235240223092;0.0162325978204258;0.017770170082732;0.0271110578660304;0.0157262528875283
SSP2;CAZ;FCEV;Truck (0-3_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0395999999941117;0.047799999988789;0.0560999999998521;0.115000000056081
SSP2;CAZ;FCEV;Truck (18t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0145999999628554;0.0178999999983205;0.0212999999994454;0.0788000005124873
SSP2;CAZ;FCEV;Truck (26t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0145999999978847;0.0178999999997821;0.0213000000000221;0.0787999998969006
SSP2;CAZ;FCEV;Truck (40t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0146000000003988;0.0179000000009502;0.0212999999991575;0.078799999546838
SSP2;CAZ;FCEV;Truck (7_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0395999999948091;0.0477999999736751;0.056099999994818;0.11499999983606
SSP2;CAZ;FCEV;Van;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00826011723807827;0.00941562148841017;0.0287128344012267;0.0832877970307585;0.0100464468424728
SSP2;CAZ;Gases;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.030999999998308;0.0564999999985336;0.0770999998428673;0.0978000000715374;0.15000000056883
SSP2;CAZ;Gases;Compact Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00144454634022868;0.00172242419408799;0.00246782341442475;0.003600642423898;0.00508764281998868
SSP2;CAZ;Gases;Large Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0065668631542131;0.00741947788326575;0.00968526370681077;0.0128943568536955;0.0152682516212198
SSP2;CAZ;Gases;Large Car and SUV;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00722783675944563;0.00854231706177055;0.0119116529061355;0.0165811182030709;0.0165870813705005
SSP2;CAZ;Gases;Midsize Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00314339938378221;0.00375852334625538;0.00531379927399676;0.00766426642351426;0.00905149005719584
SSP2;CAZ;Gases;Mini Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00608487739511827;0.00694826701531123;0.00927284179184569;0.0129216534769616;0.0139915470474167
SSP2;CAZ;Gases;Subcompact Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00638003969325232;0.00717877651727798;0.0093519380866843;0.0125053874872814;0.0146012648132841
SSP2;CAZ;Gases;Truck (0-3_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0263000000399547;0.0525999999955923;0.079000000010781;0.153000000034461
SSP2;CAZ;Gases;Truck (18t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0263000001217042;0.0525999999966541;0.0790000000018196;0.15300000225171
SSP2;CAZ;Gases;Truck (26t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0263000000011177;0.0526000000066059;0.0789999999947495;0.153000000308772
SSP2;CAZ;Gases;Truck (40t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.026300000001008;0.0526000000011915;0.0789999999877703;0.152999999959951
SSP2;CAZ;Gases;Truck (7_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0263000000064044;0.0525999999799949;0.0789999999644634;0.153000000221688
SSP2;CAZ;Gases;Van;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00237555790254459;0.00327461385167474;0.00584764394990762;0.0099670482230235;0.00694752231518339
SSP2;CAZ;Hybrid electric;Compact Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.00913523236937734;0.011226709229936;0.0165002001150127;0.021642072195032;0.0180583898317638
SSP2;CAZ;Hybrid electric;Large Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0291184219664527;0.0334029281138254;0.0440937609270438;0.0538150968712673;0.0394595606341824
SSP2;CAZ;Hybrid electric;Large Car and SUV;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0330980981984461;0.0394229510819687;0.0549180240366107;0.0706426701113392;0.0418844609472309
SSP2;CAZ;Hybrid electric;Midsize Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0174206154044558;0.0213580437382279;0.0309035825735484;0.0400063648597581;0.0273900804753308
